,Index,title,rating,price,link
0,0,"Novo Kindle 11ª Geração (lançamento 2022) – Mais leve, com resolução de 300 ppi e o dobro de armazenamento - Cor Preta  ","4.84,8","R$ 474,05",/gp/bestsellers/electronics/16243799011/ref=sr_bs_0_16243799011_1
1,1,"Kindle Paperwhite 8 GB: tela de 6,8”, temperatura de luz ajustável e bateria de longa duração  ","4.94,9","R$ 664,05",/Kindle-Paperwhite-8GB/dp/B08N3J8GTX?ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
2,2,"Kindle Paperwhite Signature Edition 32 GB: tela de 6,8"", carregamento sem fio e luz frontal adaptável  ","4.84,8","R$ 854,05",/Kindle-Paperwhite-32GB/dp/B08N2ZL7PS?ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
3,3,"Kindle Oasis 8GB - Com tela de 7"" e botões para troca de páginas - Cor Grafite  ","4.84,8","R$ 1.281,55",/Novo-Kindle-Oasis-8Gb-temperatura-de-luz-ajust%C3%A1vel/dp/B07L57H5X4?ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
4,4,A paciente silenciosa  ,"4.74,7","R$ 18,95",/paciente-silenciosa-Alex-Michaelides-ebook/dp/B07NLKFWGY
5,5,É assim que acaba  ,"4.84,8","R$ 34,11",/assim-que-acaba-Colleen-Hoover-ebook/dp/B078Z42ZFQ
6,6,O Príncipe  ,"4.74,7","R$ 0,99",/Pr%C3%ADncipe-Nicolau-Maquiavel-ebook/dp/B07X59X71M
7,7,Os Miseráveis  ,"4.74,7","R$ 1,99",/Os-Miser%C3%A1veis-Victor-Hugo-ebook/dp/B07QCP1NWY
8,8,Método Kindle: Para Ganhar Dinheiro Online  ,"4.54,5","R$ 0,00",/M%C3%A9todo-Kindle-Ganhar-Dinheiro-Online-ebook/dp/B0BTN3P1WS
9,9,O pequeno príncipe  ,"4.84,8","R$ 5,11",/pequeno-pr%C3%ADncipe-Antoine-Saint-Exup%C3%A9ry-ebook/dp/B0BPR1HQGX
10,10,Descanse em Deus e lute  ,"4.64,6","R$ 0,00",/Descanse-Deus-lute-Fernando-Marchi-ebook/dp/B08FDXHXF9
11,11,Capa Kindle 10a. Geração WB - Ultra Leve Auto Hibernação Sensor Magnético Silicone Flexível Constelação (Não Compatível com Paperwhite 10ª Geração)  ,"4.94,9","R$ 49,99",/Capa-Kindle-10a-Gera%C3%A7%C3%A3o-WB/dp/B08G37CK71
12,12,Capa Kindle Paperwhite 11ª Geração 2021 - WB Silicone Flexível e Sensor Magnético- Freedom Preta (Não Compatível com Kindle 11ª Geração ou Kindle Paperwhite 10ª Geração)  ,"4.84,8","R$ 89,99",/Capa-Novo-Kindle-Paperwhite-gera%C3%A7%C3%A3o/dp/B09H7TR6KK
13,13,"Película Kindle Paperwhite 11ª ger. 2021 - WB tela 6,8” Fosca Antirreflexo (Não Compatível com Kindle 11a Geração, Kindle Paperwhite 10ª geração e Kindle Oasis)  ","3.83,8","R$ 34,99",/Pel%C3%ADcula-Novo-Kindle-Paperwhite-ger/dp/B09H8L1ZQL
14,14,Capa Kindle Paperwhite 11ª Geração 2021 - WB Ultra leve Silicone Flexível e Sensor Magnético - Origami Tecido Lilás (Não Compatível com Kindle 11ª Geração ou Kindle Paperwhite 10ª Geração)  ,"4.64,6","R$ 72,99",/Capa-Novo-Kindle-Paperwhite-gera%C3%A7%C3%A3o/dp/B09H8FC3BT
15,15,Película Kindle 10ª e 11ª Geração - WB Fosca Anti-Risco Anti-Poeira Anti-Uv (não compatível com Kindle Paperwhite)  ,"4.54,5","R$ 39,99",/Pel%C3%ADcula-Gera%C3%A7%C3%A3o-WB-Anti-Risco-Anti-Poeira/dp/B07PPJ2V7H
