,Index,title,rating,price,link
0,0,"Apple iPad Wi-Fi de 10,2 polegadas (Wi-Fi, 64 GB) - Prateado  ","4.94,9","R$ 3.735,00",/Apple-iPad-Wi-Fi-polegadas-64-GB/dp/B09M17SKFN?ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
1,1,"Apple iPad Pro Wi-Fi de 11 polegadas (Wi-Fi, 128 GB) - Cinzento sideral  ","4.94,9","R$ 7.899,00",/Apple-iPad-Pro-11-polegadas-128-GB/dp/B0968VH1DW?ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
2,2,"2022 Apple iPad de 10,9 polegadas (Wi-Fi, de 64 GB) - azul (10ª geração)  ","4.64,6","R$ 5.299,00",/2022-Apple-polegadas-Wi-Fi-64-GB/dp/B0BJMSXKM7?ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
3,3,"2022 Apple iPad Air (5ª geração, Wi-Fi, de 64 GB) - rosa  ","4.94,9","R$ 5.999,00",/Apple-iPad-Air-gera%C3%A7%C3%A3o-Wi-Fi-64-GB/dp/B09V4YCYJ8?ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
4,4,"Apple iPad Pro Wi-Fi de 12,9 polegadas (Wi-Fi, 128 GB) - Prateado  ","5.05,0","R$ 9.999,00",/Apple-iPad-Pro-Wi-Fi-polegadas-128-GB/dp/B09717XD7C?ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
5,5,"Apple iPad mini (Wi-Fi, 64 GB) - Rosa  ","4.84,8","R$ 4.999,00",/Apple-iPad-mini-Wi-Fi-64-GB/dp/B09L5DK1KW?ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
6,6,Caneta Pencil WB Para iPad com Palm Rejection e Ponta de Alta Precisão de 1.0mm - Branca (não compatível com iPads lançados antes de 2018)  ,"4.64,6","R$ 249,99",/Caneta-Pencil-WB-Rejection-Precis%C3%A3o/dp/B086BJ19WP?ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74
7,7,"Capa Novo iPad 7a, 8a e 9a Geração WB com Teclado e Compart. para Pencil Preta  ","4.64,6","R$ 377,99",/gp/bestsellers/computers/16364864011/ref=sr_bs_7_16364864011_1
8,8,"UGREEN Suporte de tablet para mesa ajustável de alumínio portátil suporte dobrável acessórios de mesa de escritório para casa compatível com iPad Pro 12.9, iPad Air Mini 6 5 4 3 2, cinza  ","4.74,7","R$ 151,20",/UGREEN-ajust%C3%A1vel-compat%C3%ADvel-alum%C3%ADnio-Nintendo/dp/B08VDF8PZB?ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d
9,9,"Estojo de teclado para iPad 9ª/8ª/7ª geração, teclado para iPad 10.2'' com mouse Teclado redondo bonito destacável com porta-lápis (iPad 9/iPad 8/iPad 7(10.2 inch), Rosa)  ","4.44,4","R$ 157,87",/teclado-gera%C3%A7%C3%A3o-polegadas-remov%C3%ADvel-suporte/dp/B09LHJ64X2?ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d
10,10,"Película Paperlike de iPad 7a, 8a e 9a Geração de 10.2"" WB Imita Papel  ","4.24,2","R$ 79,99",/gp/bestsellers/computers/16364869011/ref=sr_bs_10_16364869011_1
11,11,"Capa Novo Ipad 7ª, 8ª e 9ª Geração 10.2″ WB - Premium Slim Antichoque com Compart. Para Pencil Verde - Musgo  ","4.84,8","R$ 149,90",/Gera%C3%A7%C3%A3o-WB-Premium-Antichoque-Compart/dp/B087C51X3N?ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9
12,12,"Caneta Stylus para iPad com rejeição de palma, Active Pencil compatível com Apple iPad Pro (2018-2021), iPad Air 3ª/4ª geração, iPad 6/7/8ª geração, iPad Mini 5ª geração para escrita/desenho precisos  ","4.54,5","R$ 77,89",/rejei%C3%A7%C3%A3o-compat%C3%ADvel-2018-2020-gera%C3%A7%C3%A3o-escrita/dp/B0831BF1FH
13,13,"Película De Vidro Temperado iPad WB Compatível com 7ª, 8ª e 9ª Geração 10.2""  ","4.64,6","R$ 56,99",/Pel%C3%ADcula-Temperado-WB-Compat%C3%ADvel-Gera%C3%A7%C3%A3o/dp/B08JWJZTGH
14,14,Capa iPad Air 4a e 5a Geração 10.9″ - WB Ultra Leve Antichoque - Cinza  ,"4.44,4","R$ 169,00",/Capa-iPad-Gera%C3%A7%C3%A3o-10-9%E2%80%B3-WB/dp/B08S7LT2VF?ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d
15,15,Capa Anti Impacto ESR Modelo Yippee Compatível com iPad Pro 11 (2022/2021/2020) (Preto)  ,"4.54,5","R$ 169,99",/ESR-Compat%C3%ADvel-iPad-Pro-2021/dp/B08VS5LJCG?ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d
16,16,Capa iPad Pro 11'' Magnética WB - Ultra Slim com Alça Preta  ,"4.64,6","R$ 179,99",/Capa-iPad-Pro-Magn%C3%A9tica-WB/dp/B08DLB7S8Z?ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d
17,17,"Pelicula Fosca para Apple iPad Pro 11"" Novo, HPrime, Película Protetora de Tela para Celular, Transparente  ","4.44,4","R$ 49,40",/Apple-iPad-Pro-Novo-Transparente/dp/B07N92YXJY
18,18,Película Para Desenho Paperlike Fosca iPad Todos Modelos (Ipad 10.9 2022 10Th Gen)  ,"5.05,0","R$ 59,00",/Pel%C3%ADcula-Desenho-Paperlike-Fosca-Modelos/dp/B0BSRPGT5V
19,19,"ZOMUN Capa de teclado para iPad 10.2 (2019, 7ª geração/2020, 8ª geração/2021, 9ª geração), teclado Bluetooth sem fio, removível/trackpad, capa traseira de TPU macio, com suporte para lápis  ","4.54,5","R$ 160,00",/ZOMUN-iPad-10-2-2019-2020/dp/B096QGN6B1?ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d
20,20,"Suporte de tablet UGREEN ajustável compatível com iPad 10.2 2019, iPad Pro 11 polegadas 2020, iPad 9.7 2018, iPad Mini 5 4 3 2, iPad Air, Nintendo Switch, iPhone 11 Pro Max SE XS XR X 8 Plus 7 6, Preto  ","4.64,6","R$ 39,23",/UGREEN-ajust%C3%A1vel-compat%C3%ADvel-polegadas-Nintendo/dp/B07CG71KQ1
21,21,Spigen Protetor de tela PaperTouch [PaperTouch Pro] projetado para iPad 10ª geração de 11 polegadas (2022) [compatível com capas]  ,"5.05,0","R$ 94,02",/Spigen-PaperTouch-projetado-polegadas-compat%C3%ADvel/dp/B0BCHF2422
22,22,"Caneta Stylus Pencil para iPad 9ª e 10ª geração, caneta ativa com rejeição de palma, compatível com Apple iPad 10ª 9ª 8ª geração/iPad Pro 11,9 e 12,9 polegadas/iPad Air 5ª geração (branco)  ","4.54,5","R$ 83,70",/rejei%C3%A7%C3%A3o-magn%C3%A9tico-recarreg%C3%A1vel-compat%C3%ADvel-2018-2020/dp/B08GFWJ5PP
23,23,"Caneta Stylus compatível com iPad, Pencil Stylus, compatível com iPad 2/3/4/5/6/7/8 Generation Pro 9.7/10.5/11/12.9 Air 1/2/3/4 Mini 1/2/3/4/5 Desenho alternativo inteligente Stylist para telas sensíveis ao toque  ","4.04,0","R$ 68,00",/compat%C3%ADvel-Generation-alternativo-inteligente-sens%C3%ADveis/dp/B09BYMR86Y
24,25,"Capa com Teclado Logitech Slim Folio para iPad 7ª, 8ª e 9ª gerações com Conexão Bluetooth LE e Resistente à quedas, arranhões e respingos  ","4.84,8","R$ 630,05",/Logitech-Bluetooth-Resistente-arranh%C3%B5es-respingos/dp/B07YFFKH27?ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
25,26,"Capa Protetora Para iPad 5ª e 6ª Geração 9.7"" Smart Case Com Suporte a Caneta Anti Impacto Magnética Slim Premium Resistente Funcional com Design Fino (Preto)  ","4.74,7","R$ 98,99",/Protetora-Gera%C3%A7%C3%A3o-Magn%C3%A9tica-Resistente-Funcional/dp/B0B3F655JJ
26,27,Apple Magic Keyboard Folio para iPad (10ª geração) – Inglês (EUA) ​​​​​​​  ,"5.05,0","R$ 2.756,16",/Apple-Magic-Keyboard-10%C2%AA-gera%C3%A7%C3%A3o-Ingl%C3%AAs/dp/B0BJMWMM5R?ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
27,28,"SIWENGDE Capa iPad Pro 11 Polegadas (4, 3 e 2 Geração) 2022/2021/2020 Com Porta-Lápis [Suporte Para Carregamento/Par De Lápis Para iPad 2º], Despertar/Repouso Automático (Azul Claro)  ","4.54,5","R$ 169,00",/SIWENGDE-polegadas-Carregamento-Inteligente-Autom%C3%A1tico/dp/B089D7C2C7?ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d
28,29,"Capa Case Couro Giratoria Para Tablet Ipad 2,3 e 4  ","4.44,4","R$ 44,00",/Capa-Couro-Giratoria-Tablet-Ipad/dp/B07798CYF6
29,30,"Capa De Teclado Para iPad Pro 12.9 2015/2017 (1ª Geração/2ª Geração) Com 7 Cores Painel De Toque De Teclado Sem Fio Destacável Com Luz De Fundo, Tampa De Suporte Couro PU Fino Com Suporte Para Caneta  ","4.04,0","R$ 435,99",/Teclado-Gera%C3%A7%C3%A3o-Painel-Destac%C3%A1vel-Suporte/dp/B0B4H5QHK2?ufe=app_do%3Aamzn1.fos.e05b01e0-91a7-477e-a514-15a32325a6d6
30,31,"Tablet  Lenovo Tab P11 Plus Octa-Core 4GB 64GB Wi-Fi  Android™ 11  11"" IPS 2K ZA940394BR Grafite acompanha Capa Protetora  ","4.84,8","R$ 1.999,00",/Lenovo-Octa-Core-AndroidTM-ZA940394BR-acompanha/dp/B09LVNNR9Q?ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
31,32,"iMieet Capa para iPad Air 5 2022/iPad Air 4 2020 - Capa para iPad Air 5ª/4ª geração Capa fina leve de 25,3 cm com traseira rígida fosca translúcida [Suporte Touch ID] (Azul celeste)  ","4.54,5","R$ 129,00",/iMieet-Capa-para-iPad-2020/dp/B08MC2W6SF?ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9
32,33,"GHINL Capa Para iPad 9/8/7 Geração 10,2 Polegadas (2021/2020/2019) com Porta-Lápis, [Dormir/Despertar] Capa Protetora Magnética Inteligente TPU Fina E Macia (Rosa)  ","4.64,6","R$ 135,00",/GHINL-iPad-inteligente-poliuretano-termopl%C3%A1stico/dp/B08Y8S73QL?ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9
33,34,"Caneta PtevSoh para iPad, caneta de pintura, ponta sensível e precisa, detecção de inclinação, rejeição da palma, adsorção magnética, para iPad 10/9/8/7/6; Pro 11/12.9; Mini 6/5; Air 5/4/3.  ","4.54,5","R$ 144,90",/profissional-sens%C3%ADvel-detec%C3%A7%C3%A3o-inclina%C3%A7%C3%A3o-magn%C3%A9tica/dp/B0975MRRCH?ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9
34,35,"Capa com Teclado Logitech Slim Folio Pro para iPad Pro 11"" (1ª, 2ª e 3ª Geração) com Conexão Bluetooth LE com Iluminação, Trava Magnética e Suporte para Apple Pencil, GRAPHITE  ","4.54,5","R$ 692,50",/Teclado-Logitech-Bluetooth-Ilumina%C3%A7%C3%A3o-Magn%C3%A9tica/dp/B086LLSZKP?ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
35,36,"iMieet Nova capa para iPad Pro 12,9 2022 (6ª geração) 2021 (5ª geração) com suporte para lápis [suporta carregamento de lápis para iPad 2ª geração/par], capa inteligente com suporte triplo com traseira de TPU macio, despertar/hibernar automático (verde macaquá)  ","4.44,4","R$ 139,00",/iMieet-inteligente-traseira-despertar-autom%C3%A1tico/dp/B0946BQJW9?ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9
36,37,Cabo USB Dados Carregador Dock 30 Pinos Iphone 4 Ipad 1ª Linha  ,"4.44,4","R$ 13,99",/Dados-Carregador-Pinos-Iphone-Linha/dp/B00N2LAL9E
37,38,"SIWENGDE Capa para iPad 10ª geração 2022 com suporte para lápis, capa para iPad 10,9 polegadas [suporte Touch ID] capa traseira de TPU flexível com suporte de três dobras, capa protetora inteligente com três dobras, despertar/hibernar automática (azul marinho)  ","4.64,6","R$ 145,00",/SIWENGDE-iPad-polegadas-inteligente-autom%C3%A1tica/dp/B0BGS3NG6N?ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9
38,39,Película De Vidro Apple iPad 5 E 6 iPad Air 2 A1566 A1567  ,"4.54,5","R$ 30,00",/Pel%C3%ADcula-Vidro-Apple-A1566-A1567/dp/B09GRZFJX5
39,40,Capa Case Giratória para Novo iPad 2021 De 9a Geração De 10.2 - Preta  ,"4.34,3","R$ 42,99",/Capa-Case-Girat%C3%B3ria-para-Gera%C3%A7%C3%A3o/dp/B09JN43KWN
40,41,"Capa Case Giratoria Para iPad Mini 1, 2 E 3 De 7.9 Polegadas  ","4.54,5","R$ 47,90",/Capa-Pel%C3%ADcula-Protetora-Caneta-Para/dp/B07GMT6C46
